ETM Var no.,Euclidean Independent?,Equivalent?,Simplex / SYNsimplex,Simplex count,Simplex group size,Remove/set as X,Synthetic?,Design VAR no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Range formula,Min,Max,Min formula,Max formula,Unnamed: 20,Unnamed: 21,Unnamed: 22
1,Euclidean Independent,,,,,,,1,Demand,Households,Population & Housing Stock,Population,,,Current +/- 20%,55.38,83.08,55.384,83.076,,,
2,Euclidean Independent,,,,,,,2,Demand,Households,Population & Housing Stock,Number of apartments,New residences,,Current +/- 20%,4.96,6.98,4.96496,6.97872,,,
8.RATIOEQ.2,,Equivalent,,,,,,3,Demand,Households,Population & Housing Stock,Number of detached houses,New residences,,Current +/- 20%,12.52,18.77,12.51536,18.77304,,,
14.RATIOEQ.2,,Equivalent,,,,,,4,Demand,Households,Population & Housing Stock,Number of terraced houses,New residences,,Current +/- 20%,5.31,7.96,5.30816,7.96224,,,
20,Euclidean Independent,,,,,,,5,Demand,Households,Heat demand & insulation,Typical heat demand apartments,New residences,,Current to -50%,13,26,13,26,,,
21,Euclidean Independent,,,,,,,6,Demand,Households,Heat demand & insulation,Typical heat demand apartments,2005 - present,,Current to -50%,13,26,13,26,,,
22,Euclidean Independent,,,,,,,7,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1985 - 2004,,Current to -50%,19.5,39,19.5,39,,,
23,Euclidean Independent,,,,,,,8,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1965 - 1984,,Current to -50%,29,58,29,58,,,
24,Euclidean Independent,,,,,,,9,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1945 - 1964,,Current to -50%,44.5,89,44.5,89,,,
25,Euclidean Independent,,,,,,,10,Demand,Households,Heat demand & insulation,Typical heat demand apartments,< 1945,,Current to -50%,55.5,111,55.5,111,,,
26.RATIOEQ.20,,Equivalent,,,,,,11,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,New residences,,"Same reduction, diff ref value",31,62,31,62,,,
27.RATIOEQ.21,,Equivalent,,,,,,12,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,2005 - present,,"Same reduction, diff ref value",31,62,31,62,,,
28.RATIOEQ.22,,Equivalent,,,,,,13,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1985 - 2004,,"Same reduction, diff ref value",55,110,55,110,,,
29.RATIOEQ.23,,Equivalent,,,,,,14,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1965 - 1984,,"Same reduction, diff ref value",70.5,141,70.5,141,,,
30.RATIOEQ.24,,Equivalent,,,,,,15,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1945 - 1964,,"Same reduction, diff ref value",95,190,95,190,,,
31.RATIOEQ.25,,Equivalent,,,,,,16,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,< 1945,,"Same reduction, diff ref value",105.5,211,105.5,211,,,
32.RATIOEQ.20,,Equivalent,,,,,,17,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,New residences,,"Same reduction, diff ref value",13,26,13,26,,,
33.RATIOEQ.21,,Equivalent,,,,,,18,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,2005 - present,,"Same reduction, diff ref value",13,26,13,26,,,
34.RATIOEQ.22,,Equivalent,,,,,,19,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1985 - 2004,,"Same reduction, diff ref value",19.5,39,19.5,39,,,
35.RATIOEQ.23,,Equivalent,,,,,,20,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1965 - 1984,,"Same reduction, diff ref value",29,58,29,58,,,
36.RATIOEQ.24,,Equivalent,,,,,,21,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1945 - 1964,,"Same reduction, diff ref value",44.5,89,44.5,89,,,
37.RATIOEQ.25,,Equivalent,,,,,,22,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,< 1945,,"Same reduction, diff ref value",55.5,111,55.5,111,,,
39,,,Simplex,,,,,23,Demand,Households,Space heating & hot water,Space heating and hot water,Condensing combi boiler (gas),,0 to 100% simplex,0,100%,0,100,,,
44.COM.47,,,Simplex,1,,,,24,Demand,Households,Space heating & hot water,Space heating and hot water,Air heat pump,,0 to 100% simplex,0,100%,0,100,,,
45.COM.SYN.21,,,Simplex,1,,,,25,Demand,Households,Space heating & hot water,Space heating and hot water,Ground heat pump,,0 to 100% simplex,0,100%,0,100,,,
47,,,Simplex,1,,,,26,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (gas),,0 to 100% simplex,0,100%,0,100,,,
51,,,Simplex,1,,,,27,Demand,Households,Space heating & hot water,Space heating and hot water,Biomass boiler,,0 to 100% simplex,0,100%,0,100,,,
52.COM.51,,,Simplex,1,6,,,28,Demand,Households,Space heating & hot water,Space heating and hot water,Electric boiler,,0 to 100% simplex,0,100%,0,100,,,
56.EQ.45.COM.SYN.21,,,Simplex,1,,,,29,Demand,Households,Cooling,Ground heat pump,,,0 to 100% simplex,0,100%,0,100,,,
57.EQ.SYN.21,,,Simplex,1,,,,30,Demand,Households,Cooling,Air heat pump,, ,0 to 100% simplex,0,100%,0,100,,,
59.EQ.39+(SYNCOM.39*SYNCOM.SYN.20),,,Simplex,1,3,,,31,Demand,Households,Cooling,Airconditioning,,,0 to 100% simplex,0,100%,0,100,,,
60,,,Simplex,1,,,,32,Demand,Households,Cooking,Gas,,,0 to 100% simplex,0,100%,0,100,,,
63.COM.60,,,Simplex,1,2,,,33,Demand,Households,Cooking,Induction,,,0 to 100% simplex,0,100%,0,100,,,
65,Euclidean Independent,,,,,,,34,Demand,Households,Appliances,Dish washer,,,0 to +5% improvement pa,0,5%,0,5,,,
66.EQ.65.1,,Equivalent,,,,,,35,Demand,Households,Appliances,Fridge / Freezer,,,0 to +5% improvement pa,0,5%,0,5,,,
67.EQ.65.2,,Equivalent,,,,,,36,Demand,Households,Appliances,Washing machine,,,0 to +5% improvement pa,0,5%,0,5,,,
68.EQ.65.3,,Equivalent,,,,,,37,Demand,Households,Appliances,Dryer,,,0 to +5% improvement pa,0,5%,0,5,,,
69.EQ.65.4,,Equivalent,,,,,,38,Demand,Households,Appliances,Television,,,0 to +5% improvement pa,0,5%,0,5,,,
70.EQ.65.5,,Equivalent,,,,,,39,Demand,Households,Appliances,Vacuum cleaner,,,0 to +5% improvement pa,0,5%,0,5,,,
71.EQ.65.6,,Equivalent,,,,,,40,Demand,Households,Appliances,Computer / Media,,,0 to +5% improvement pa,0,5%,0,5,,,
72.EQ.65.7,,Equivalent,,,,,,41,Demand,Households,Appliances,Other,,,0 to +5% improvement pa,0,5%,0,5,,,
76,Euclidean Independent,,,,,,,42,Demand,Households,Development of demand,Per person,Hot water,,0 to +5% pa (excl. efficiency),0,5%,0,5,,,
77.EQ.76.1,,Equivalent,,,,,,43,Demand,Households,Development of demand,Per person,Electric appliances,,0 to +5% pa (excl. efficiency),0,5%,0,5,,,
78.EQ.76.2,,Equivalent,,,,,,44,Demand,Households,Development of demand,Per person,Lighting,,0 to +5% pa (excl. efficiency),0,5%,0,5,,,
79.EQ.76.3,,Equivalent,,,,,,45,Demand,Households,Development of demand,Per person,Cooking,,0 to +5% pa (excl. efficiency),0,5%,0,5,,,
80,Euclidean Independent,,,,,,,46,Demand,Households,Development of demand,Per residence,Cooling demand,,0 to +5% pa (excl. efficiency),0,5%,0,5,,,
81,Euclidean Independent,,,,,,,47,Demand,Households,Behaviour,Turn off appliances,,,0 to 100%,0,100%,0,100,,,
82.EQ.81.1,,Equivalent,,,,,,48,Demand,Households,Behaviour,Turn off the light,,,0 to 100%,0,100%,0,100,,,
83.EQ.81.2,,Equivalent,,,,,,49,Demand,Households,Behaviour,Low-temperature washing,,,0 to 100%,0,100%,0,100,,,
SYN.29,Euclidean Independent,,,,,,Synthetic,50,Demand,Buildings,Building stock,Total no. of buildings,,,Current to +2% net pa,5036070,9122143.733,5036071,9122145.544,,,
118,,,SYNsimplex,1,,,,51,Demand,Buildings,Building stock,New buildings,,,Simplex of total ^,0,5036070,0,5036070,,,
119.COM.118,,,SYNsimplex,1,2,,,52,Demand,Buildings,Building stock,Existing buildings,,,Simplex of total ^,0,5036070,0,5036070,,,
120,Euclidean Independent,,,,,,,53,Demand,Buildings,Heat demand & insulation,New buildings,,,Current to -50%,76,152,76,152,,,
121,Euclidean Independent,,,,,,,54,Demand,Buildings,Heat demand & insulation,Present buildings,,,Current to -50%,76,152,76,152,,,
123,,,Simplex,1,,,,55,Demand,Buildings,Space heating & hot water,Space heating and hot water,Condensing combi boiler (gas),,0 to 100% simplex,0,100%,0,100,,,
129.COM.130,,,Simplex,1,,,,56,Demand,Buildings,Space heating & hot water,Space heating and hot water,Air heat pump,,0 to 100% simplex,0,100%,0,100,,,
133.COM.SYN.35,,,Simplex,1,,,,57,Demand,Buildings,Space heating & hot water,Space heating and hot water,Ground heat pump with TS,,0 to 100% simplex,0,100%,0,100,,,
130,,,Simplex,1,,,,58,Demand,Buildings,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (gas),,0 to 100% simplex,0,100%,0,100,,,
136,,,Simplex,1,,,,59,Demand,Buildings,Space heating & hot water,Space heating and hot water,Biomass boiler,,0 to 100% simplex,0,100%,0,100,,,
135.COM.136,,,Simplex,1,6,,,60,Demand,Buildings,Space heating & hot water,Space heating and hot water,Electric boiler,,0 to 100% simplex,0,100%,0,100,,,
139.EQ.130,,,Simplex,1,,,,61,Demand,Buildings,Cooling,Air heat pump (gas),,,0 to 100% simplex,0,100%,0,100,,,
140.EQ.129.COM.130,,,Simplex,1,,,,62,Demand,Buildings,Cooling,Air heat pump,,,0 to 100% simplex,0,100%,0,100,,,
